model,instruction_prompt,text_id,text,Gender,Race,Age,Education,annotation
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,417,"A: i never said i was applying a job, calm down\nB: I'm not getting worked up, I'm simply talking to you about this topic\nA: oh ok, you seem upset\nB: I'm not upset at all, I'm simply talking about this topic\nA: ok\nB: So what do you think about it?\nA: i still disagree\nB: About what?\nA: about your answer\n
No no, what do you disagree with",Man,African Am.,3) Gen. X+,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,417,"A: i never said i was applying a job, calm down\nB: I'm not getting worked up, I'm simply talking to you about this topic\nA: oh ok, you seem upset\nB: I'm not upset at all, I'm simply talking about this topic\nA: ok\nB: So what do you think about it?\nA: i still disagree\nB: About what?\nA: about your answer\n
No no, what do you disagree with",Nonbinary,Other,3) Gen. X+,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,829,"A: yes i think,\nB: yeah she is from bollywood\nA: what else do you know about her?\nB: Nothing\nA: u know who is her husband\nB: Not sure\nA: can you name any one of her movie?\nB: Quantico, Barfi!\nA: Quantico is which language movie?\n
English",Man,Latino,2) Millennial,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,829,"A: yes i think,\nB: yeah she is from bollywood\nA: what else do you know about her?\nB: Nothing\nA: u know who is her husband\nB: Not sure\nA: can you name any one of her movie?\nB: Quantico, Barfi!\nA: Quantico is which language movie?\n
English",Man,African Am.,2) Millennial,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,829,"A: yes i think,\nB: yeah she is from bollywood\nA: what else do you know about her?\nB: Nothing\nA: u know who is her husband\nB: Not sure\nA: can you name any one of her movie?\nB: Quantico, Barfi!\nA: Quantico is which language movie?\n
English",Man,African Am.,1) Gen. Z,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,829,"A: yes i think,\nB: yeah she is from bollywood\nA: what else do you know about her?\nB: Nothing\nA: u know who is her husband\nB: Not sure\nA: can you name any one of her movie?\nB: Quantico, Barfi!\nA: Quantico is which language movie?\n
English",Woman,African Am.,2) Millennial,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,829,"A: yes i think,\nB: yeah she is from bollywood\nA: what else do you know about her?\nB: Nothing\nA: u know who is her husband\nB: Not sure\nA: can you name any one of her movie?\nB: Quantico, Barfi!\nA: Quantico is which language movie?\n
English",Nonbinary,Other,3) Gen. X+,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,829,"A: yes i think,\nB: yeah she is from bollywood\nA: what else do you know about her?\nB: Nothing\nA: u know who is her husband\nB: Not sure\nA: can you name any one of her movie?\nB: Quantico, Barfi!\nA: Quantico is which language movie?\n
English",Other,African Am.,3) Gen. X+,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,85,"A: Cats wouldn't die all of the sudden,\nB: They can get FIV or something from a fight with other, outside cats, no?\nA: oh what is FIV?\nB: feline immunodeficiency virus.\nIt can shorten their lives, no?\nA: so like HIV but for cats?\nB: I guess?\nDo you know what the F stands for?\nA: you said it was for feline\nB: Exactly. So what's wrong with saying HIV for them?\nA: since HIV is for human immunodeficiency virus... so H is for humans\n
I have no idea why I didn't remember that.\nHave you ever thought about getting a bearded dragon, instead?",Man,White,1) Gen. Z,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,85,"A: Cats wouldn't die all of the sudden,\nB: They can get FIV or something from a fight with other, outside cats, no?\nA: oh what is FIV?\nB: feline immunodeficiency virus.\nIt can shorten their lives, no?\nA: so like HIV but for cats?\nB: I guess?\nDo you know what the F stands for?\nA: you said it was for feline\nB: Exactly. So what's wrong with saying HIV for them?\nA: since HIV is for human immunodeficiency virus... so H is for humans\n
I have no idea why I didn't remember that.\nHave you ever thought about getting a bearded dragon, instead?",Woman,Asian,2) Millennial,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,85,"A: Cats wouldn't die all of the sudden,\nB: They can get FIV or something from a fight with other, outside cats, no?\nA: oh what is FIV?\nB: feline immunodeficiency virus.\nIt can shorten their lives, no?\nA: so like HIV but for cats?\nB: I guess?\nDo you know what the F stands for?\nA: you said it was for feline\nB: Exactly. So what's wrong with saying HIV for them?\nA: since HIV is for human immunodeficiency virus... so H is for humans\n
I have no idea why I didn't remember that.\nHave you ever thought about getting a bearded dragon, instead?",Woman,Latino,1) Gen. Z,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,85,"A: Cats wouldn't die all of the sudden,\nB: They can get FIV or something from a fight with other, outside cats, no?\nA: oh what is FIV?\nB: feline immunodeficiency virus.\nIt can shorten their lives, no?\nA: so like HIV but for cats?\nB: I guess?\nDo you know what the F stands for?\nA: you said it was for feline\nB: Exactly. So what's wrong with saying HIV for them?\nA: since HIV is for human immunodeficiency virus... so H is for humans\n
I have no idea why I didn't remember that.\nHave you ever thought about getting a bearded dragon, instead?",Man,Latino,2) Millennial,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,85,"A: Cats wouldn't die all of the sudden,\nB: They can get FIV or something from a fight with other, outside cats, no?\nA: oh what is FIV?\nB: feline immunodeficiency virus.\nIt can shorten their lives, no?\nA: so like HIV but for cats?\nB: I guess?\nDo you know what the F stands for?\nA: you said it was for feline\nB: Exactly. So what's wrong with saying HIV for them?\nA: since HIV is for human immunodeficiency virus... so H is for humans\n
I have no idea why I didn't remember that.\nHave you ever thought about getting a bearded dragon, instead?",Nonbinary,African Am.,2) Millennial,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,85,"A: Cats wouldn't die all of the sudden,\nB: They can get FIV or something from a fight with other, outside cats, no?\nA: oh what is FIV?\nB: feline immunodeficiency virus.\nIt can shorten their lives, no?\nA: so like HIV but for cats?\nB: I guess?\nDo you know what the F stands for?\nA: you said it was for feline\nB: Exactly. So what's wrong with saying HIV for them?\nA: since HIV is for human immunodeficiency virus... so H is for humans\n
I have no idea why I didn't remember that.\nHave you ever thought about getting a bearded dragon, instead?",Nonbinary,White,3) Gen. X+,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,91,"A: okay, just was wondering since you said you were in a dark space\nB: Oh that lol that’s just my sense of humor. I’m good though. How about you?\nA: are you sure?\nB: Yep! How are you?\nA: did you ever talk with the doc like you said you would?\nB: Not yet because I forgot. I’m sorry for the delay. I still will and I hope that doesn’t bother you.\nA: how was the hospital trip?\nB: It was good but I’m not going to the doctor. I decided that because he didn’t do anything to help me in the ER. I’m sorry I couldn’t help you. I hope you find a good doctor. I know you will.\nA: I don't need any, I was asking about you\n
Oh thanks then I’m here to talk, just not about that.",Man,Asian,2) Millennial,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,91,"A: okay, just was wondering since you said you were in a dark space\nB: Oh that lol that’s just my sense of humor. I’m good though. How about you?\nA: are you sure?\nB: Yep! How are you?\nA: did you ever talk with the doc like you said you would?\nB: Not yet because I forgot. I’m sorry for the delay. I still will and I hope that doesn’t bother you.\nA: how was the hospital trip?\nB: It was good but I’m not going to the doctor. I decided that because he didn’t do anything to help me in the ER. I’m sorry I couldn’t help you. I hope you find a good doctor. I know you will.\nA: I don't need any, I was asking about you\n
Oh thanks then I’m here to talk, just not about that.",Nonbinary,Latino,3) Gen. X+,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,91,"A: okay, just was wondering since you said you were in a dark space\nB: Oh that lol that’s just my sense of humor. I’m good though. How about you?\nA: are you sure?\nB: Yep! How are you?\nA: did you ever talk with the doc like you said you would?\nB: Not yet because I forgot. I’m sorry for the delay. I still will and I hope that doesn’t bother you.\nA: how was the hospital trip?\nB: It was good but I’m not going to the doctor. I decided that because he didn’t do anything to help me in the ER. I’m sorry I couldn’t help you. I hope you find a good doctor. I know you will.\nA: I don't need any, I was asking about you\n
Oh thanks then I’m here to talk, just not about that.",Woman,Asian,2) Millennial,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,91,"A: okay, just was wondering since you said you were in a dark space\nB: Oh that lol that’s just my sense of humor. I’m good though. How about you?\nA: are you sure?\nB: Yep! How are you?\nA: did you ever talk with the doc like you said you would?\nB: Not yet because I forgot. I’m sorry for the delay. I still will and I hope that doesn’t bother you.\nA: how was the hospital trip?\nB: It was good but I’m not going to the doctor. I decided that because he didn’t do anything to help me in the ER. I’m sorry I couldn’t help you. I hope you find a good doctor. I know you will.\nA: I don't need any, I was asking about you\n
Oh thanks then I’m here to talk, just not about that.",Other,Asian,1) Gen. Z,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,91,"A: okay, just was wondering since you said you were in a dark space\nB: Oh that lol that’s just my sense of humor. I’m good though. How about you?\nA: are you sure?\nB: Yep! How are you?\nA: did you ever talk with the doc like you said you would?\nB: Not yet because I forgot. I’m sorry for the delay. I still will and I hope that doesn’t bother you.\nA: how was the hospital trip?\nB: It was good but I’m not going to the doctor. I decided that because he didn’t do anything to help me in the ER. I’m sorry I couldn’t help you. I hope you find a good doctor. I know you will.\nA: I don't need any, I was asking about you\n
Oh thanks then I’m here to talk, just not about that.",Nonbinary,White,2) Millennial,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,91,"A: okay, just was wondering since you said you were in a dark space\nB: Oh that lol that’s just my sense of humor. I’m good though. How about you?\nA: are you sure?\nB: Yep! How are you?\nA: did you ever talk with the doc like you said you would?\nB: Not yet because I forgot. I’m sorry for the delay. I still will and I hope that doesn’t bother you.\nA: how was the hospital trip?\nB: It was good but I’m not going to the doctor. I decided that because he didn’t do anything to help me in the ER. I’m sorry I couldn’t help you. I hope you find a good doctor. I know you will.\nA: I don't need any, I was asking about you\n
Oh thanks then I’m here to talk, just not about that.",Man,Other,2) Millennial,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,179,"A: but why do you want to convert them to straight people?\nB: so they can have traditional families\nA: why they have to be traditional families?\nB: so they can have children of their own. not someone elses\nA: what if they don't want children?\nB: than its up to them\nA: what if your children don't want children?\nB: i would prefer that they be straight and have their own children because thats what i would want for me\nA: what if your children don't want to have children?\n
i would still want them to be straight",Other,Other,3) Gen. X+,High school -,1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,179,"A: but why do you want to convert them to straight people?\nB: so they can have traditional families\nA: why they have to be traditional families?\nB: so they can have children of their own. not someone elses\nA: what if they don't want children?\nB: than its up to them\nA: what if your children don't want children?\nB: i would prefer that they be straight and have their own children because thats what i would want for me\nA: what if your children don't want to have children?\n
i would still want them to be straight",Woman,Latino,2) Millennial,High school -,1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,179,"A: but why do you want to convert them to straight people?\nB: so they can have traditional families\nA: why they have to be traditional families?\nB: so they can have children of their own. not someone elses\nA: what if they don't want children?\nB: than its up to them\nA: what if your children don't want children?\nB: i would prefer that they be straight and have their own children because thats what i would want for me\nA: what if your children don't want to have children?\n
i would still want them to be straight",Nonbinary,White,2) Millennial,College +,1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,179,"A: but why do you want to convert them to straight people?\nB: so they can have traditional families\nA: why they have to be traditional families?\nB: so they can have children of their own. not someone elses\nA: what if they don't want children?\nB: than its up to them\nA: what if your children don't want children?\nB: i would prefer that they be straight and have their own children because thats what i would want for me\nA: what if your children don't want to have children?\n
i would still want them to be straight",Other,Other,1) Gen. Z,College +,1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,179,"A: but why do you want to convert them to straight people?\nB: so they can have traditional families\nA: why they have to be traditional families?\nB: so they can have children of their own. not someone elses\nA: what if they don't want children?\nB: than its up to them\nA: what if your children don't want children?\nB: i would prefer that they be straight and have their own children because thats what i would want for me\nA: what if your children don't want to have children?\n
i would still want them to be straight",Nonbinary,Latino,3) Gen. X+,College +,1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,179,"A: but why do you want to convert them to straight people?\nB: so they can have traditional families\nA: why they have to be traditional families?\nB: so they can have children of their own. not someone elses\nA: what if they don't want children?\nB: than its up to them\nA: what if your children don't want children?\nB: i would prefer that they be straight and have their own children because thats what i would want for me\nA: what if your children don't want to have children?\n
i would still want them to be straight",Nonbinary,Other,3) Gen. X+,College +,1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,812,"A: Hi can you tell about JAM session\n
What do you mean exactly?",Nonbinary,Latino,2) Millennial,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,812,"A: Hi can you tell about JAM session\n
What do you mean exactly?",Man,Latino,2) Millennial,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,812,"A: Hi can you tell about JAM session\n
What do you mean exactly?",Man,Other,2) Millennial,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,812,"A: Hi can you tell about JAM session\n
What do you mean exactly?",Woman,Latino,2) Millennial,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,812,"A: Hi can you tell about JAM session\n
What do you mean exactly?",Nonbinary,Latino,2) Millennial,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,812,"A: Hi can you tell about JAM session\n
What do you mean exactly?",Other,African Am.,3) Gen. X+,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,767,"A: there can not\nB: That is a very narrow world view\nA: what is your worldview\nB: There can be other ways for people to become black\nA: like how?\nB: Like getting a spray tan\nA: how else?\nB: There could be a virus that has a side effect of making someone black\nA: how else?\n
Getting in a car accident",Man,Latino,3) Gen. X+,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,767,"A: there can not\nB: That is a very narrow world view\nA: what is your worldview\nB: There can be other ways for people to become black\nA: like how?\nB: Like getting a spray tan\nA: how else?\nB: There could be a virus that has a side effect of making someone black\nA: how else?\n
Getting in a car accident",Woman,Other,1) Gen. Z,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,767,"A: there can not\nB: That is a very narrow world view\nA: what is your worldview\nB: There can be other ways for people to become black\nA: like how?\nB: Like getting a spray tan\nA: how else?\nB: There could be a virus that has a side effect of making someone black\nA: how else?\n
Getting in a car accident",Man,White,1) Gen. Z,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,767,"A: there can not\nB: That is a very narrow world view\nA: what is your worldview\nB: There can be other ways for people to become black\nA: like how?\nB: Like getting a spray tan\nA: how else?\nB: There could be a virus that has a side effect of making someone black\nA: how else?\n
Getting in a car accident",Woman,Asian,3) Gen. X+,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,767,"A: there can not\nB: That is a very narrow world view\nA: what is your worldview\nB: There can be other ways for people to become black\nA: like how?\nB: Like getting a spray tan\nA: how else?\nB: There could be a virus that has a side effect of making someone black\nA: how else?\n
Getting in a car accident",Nonbinary,White,3) Gen. X+,High school -,1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,767,"A: there can not\nB: That is a very narrow world view\nA: what is your worldview\nB: There can be other ways for people to become black\nA: like how?\nB: Like getting a spray tan\nA: how else?\nB: There could be a virus that has a side effect of making someone black\nA: how else?\n
Getting in a car accident",Man,African Am.,2) Millennial,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,675,"A: You see one crowded polluted city\nB: And a million lights\nA: I get my kicks above the waistline, sunshine.\nB: One night in Bangkok.. and the tough guys tumble\nA: I can feel the devil walking next to me.\nB: He got everything he wanted and I lost everything I had\nA: This grips me more than a muddy old river, or a reclining Buddha.\nB: I believe in ever lasting love\nA: I would invite you but the queens we use would not excite you.\n
We would fight and you would win. (I love this song)",Nonbinary,African Am.,3) Gen. X+,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,675,"A: You see one crowded polluted city\nB: And a million lights\nA: I get my kicks above the waistline, sunshine.\nB: One night in Bangkok.. and the tough guys tumble\nA: I can feel the devil walking next to me.\nB: He got everything he wanted and I lost everything I had\nA: This grips me more than a muddy old river, or a reclining Buddha.\nB: I believe in ever lasting love\nA: I would invite you but the queens we use would not excite you.\n
We would fight and you would win. (I love this song)",Woman,Asian,1) Gen. Z,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,675,"A: You see one crowded polluted city\nB: And a million lights\nA: I get my kicks above the waistline, sunshine.\nB: One night in Bangkok.. and the tough guys tumble\nA: I can feel the devil walking next to me.\nB: He got everything he wanted and I lost everything I had\nA: This grips me more than a muddy old river, or a reclining Buddha.\nB: I believe in ever lasting love\nA: I would invite you but the queens we use would not excite you.\n
We would fight and you would win. (I love this song)",Other,White,2) Millennial,College +,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,675,"A: You see one crowded polluted city\nB: And a million lights\nA: I get my kicks above the waistline, sunshine.\nB: One night in Bangkok.. and the tough guys tumble\nA: I can feel the devil walking next to me.\nB: He got everything he wanted and I lost everything I had\nA: This grips me more than a muddy old river, or a reclining Buddha.\nB: I believe in ever lasting love\nA: I would invite you but the queens we use would not excite you.\n
We would fight and you would win. (I love this song)",Nonbinary,Asian,2) Millennial,High school -,-1
unsloth/OLMo-2-0325-32B-Instruct-unsloth-bnb-4bit,variant2.txt,675,"A: You see one crowded polluted city\nB: And a million lights\nA: I get my kicks above the waistline, sunshine.\nB: One night in Bangkok.. and the tough guys tumble\nA: I can feel the devil walking next to me.\nB: He got everything he wanted and I lost everything I had\nA: This grips me more than a muddy old river, or a reclining Buddha.\nB: I believe in ever lasting love\nA: I would invite you but the queens we use would not excite you.\n
We would fight and you would win. (I love this song)",Nonbinary,Other,2) Millennial,College +,-1
