Dataset,Model,PC Dimension,F,p_raw,n_prompts_compared,n_total_obs,p_corrected,reject_null
Kumar et al. 2021,llama70b,Political Affiliation: Other,10.044858029791653,4.39534692619084e-08,5,3602,1.1735576292929542e-05,True
Kumar et al. 2021,llama70b,Political Affiliation: Prefer not to say,7.459461932671993,5.571289610486907e-06,5,3620,0.0011476856597603029,True
Kumar et al. 2021,llama70b,Religion Important: 1) No,5.659535760362152,0.00015410134886455036,5,3564,0.023269303678547106,True
Kumar et al. 2021,llama70b,Religion Important: 2) Not very,5.153605690984554,0.0003865536800427754,5,3707,0.05295785416586023,False
Kumar et al. 2021,llama70b,Religion Important: 3) Somewhat,6.029607876319487,7.818985612058672e-05,5,3681,0.012510376979293875,True
Kumar et al. 2021,llama70b,Religion Important: 4) Very,7.425616641758336,5.9187091942252674e-06,5,3794,0.0012014979664277292,True
Kumar et al. 2021,llama70b,Religion Important: Prefer not to say,9.174954409543812,2.2510707572576153e-07,5,3729,5.762741138579495e-05,True
Kumar et al. 2021,llama70b,Seen Toxicity: False,8.521489439523007,7.540261501073154e-07,5,4912,0.00017568809297500447,True
Kumar et al. 2021,llama70b,Seen Toxicity: True,10.377706483913398,2.2809011845925762e-08,5,4901,6.226860233937733e-06,True
Kumar et al. 2021,llama70b,Sexual Orientation: Bisexual,7.069108069894948,1.1486054747241059e-05,5,3707,0.002182350401975801,True
Kumar et al. 2021,llama70b,Sexual Orientation: Heterosexual,8.134891237375673,1.5806233352476267e-06,5,3690,0.000355640250430716,True
Kumar et al. 2021,llama70b,Sexual Orientation: Homosexual,7.369004303974192,6.588129538892559e-06,5,3653,0.0013176259077785119,True
Kumar et al. 2021,llama70b,Sexual Orientation: Other,5.096382078601782,0.0004289743423249926,5,3640,0.057911536213874,False
Kumar et al. 2021,llama70b,Sexual Orientation: Prefer not to say,6.652580173755864,2.4837306884564208e-05,5,3667,0.004421040625452429,True
Kumar et al. 2021,llama70b,Technology Impact: 1) Very negative,5.105200675362783,0.0004222200752004819,5,3624,0.05742193022726554,False
Kumar et al. 2021,llama70b,Technology Impact: 2) Somewhat negative,5.196706808263762,0.0003573278134777423,5,3777,0.04966856607340618,True
Kumar et al. 2021,llama70b,Technology Impact: 3) Neutral,7.435091999619143,5.819190479166231e-06,5,3745,0.0011929340482290773,True
Kumar et al. 2021,llama70b,Technology Impact: 4) Somewhat positive,5.384559297982301,0.00025393174535942256,5,3811,0.03682010307711627,True
Kumar et al. 2021,llama70b,Technology Impact: 5) Very positive,8.124780477563089,1.611360818512475e-06,5,3668,0.00036094482334679437,True
Kumar et al. 2021,llama70b,Toxicity Problem: 1) Never,5.314957474086627,0.00028843577265424654,5,3689,0.041534751262211504,True
Kumar et al. 2021,llama70b,Toxicity Problem: 2) Rarely,10.11402442906547,3.850659437771672e-08,5,3673,1.0358273887605798e-05,True
Kumar et al. 2021,llama70b,Toxicity Problem: 3) Occasionally,4.796422109738245,0.0007376042718301444,5,3622,0.09146292970693791,False
Kumar et al. 2021,llama70b,Toxicity Problem: 4) Frequently,6.616624548976008,2.655242902279247e-05,5,3633,0.004673227508011475,True
Kumar et al. 2021,llama70b,Toxicity Problem: 5) Very Frequently,5.940012934133543,9.212744928598894e-05,5,3713,0.014556136987186252,True
Kumar et al. 2021,olmo32b,Age: 1) 18 - 24,8.26442577084185,1.2683768183794932e-06,5,2757,0.00028792153777214497,True
Kumar et al. 2021,olmo32b,Age: 2) 25 - 34,5.477046443675384,0.00021688911753930476,5,2698,0.031665811160738494,True
Kumar et al. 2021,olmo32b,Age: 3) 35 - 44,10.643364914246607,1.4721744164104647e-08,5,2748,4.063201389292882e-06,True
Kumar et al. 2021,olmo32b,Age: 4) 45 - 54,9.100029779298476,2.66529278972093e-07,5,2744,6.743190757993953e-05,True
Kumar et al. 2021,olmo32b,Age: 5) 55 - 64,6.262067102976616,5.164703999460501e-05,5,2739,0.008648926061133242,True
Kumar et al. 2021,olmo32b,Age: 6) 65 or older,8.625764219434048,6.425446908084019e-07,5,2944,0.00015164054703078285,True
Kumar et al. 2021,olmo32b,Age: Prefer not to say,8.797500253763872,4.698426749160716e-07,5,2710,0.0001141717700046054,True
Kumar et al. 2021,olmo32b,Age: Under 18,4.798453264048365,0.0007398314276452549,5,2733,0.09146292970693791,False
Kumar et al. 2021,olmo32b,Education: 1) No high school,6.241749831642857,5.3911183021308686e-05,5,2452,0.008841434015494625,True
Kumar et al. 2021,olmo32b,Education: 2) High School graduate,4.259094873489707,0.0019498347906235156,5,2288,0.19108380948110454,False
Kumar et al. 2021,olmo32b,"Education: 3) College, no degree",7.181448974990875,9.629809069806501e-06,5,2220,0.0018489233414028482,True
Kumar et al. 2021,olmo32b,Education: 4) Associate degree,10.095874927797572,4.219411618133467e-08,5,2327,1.1308023136597692e-05,True
Kumar et al. 2021,olmo32b,Education: 5) Bachelor's degree,12.45570649880657,4.997606675943957e-10,5,2359,1.429315509319972e-07,True
Kumar et al. 2021,olmo32b,Education: 6) Master's degree,4.793600152085711,0.0007496817203120269,5,2344,0.09146292970693791,False
Kumar et al. 2021,olmo32b,Education: 7) Professional degree,4.257732658497065,0.0019527197668891257,5,2378,0.19108380948110454,False
Kumar et al. 2021,olmo32b,Education: 8) Doctoral degree,7.672946412275462,3.864836127883616e-06,5,2324,0.000815480422983443,True
Kumar et al. 2021,olmo32b,Education: Other,5.094728864325658,0.00043564805212367025,5,2372,0.05837683898457181,False
Kumar et al. 2021,olmo32b,Education: Prefer not to say,6.287456893286108,4.950976072181762e-05,5,2515,0.008416659322708995,True
Kumar et al. 2021,olmo32b,Ethnicity: Asian,6.053431122991984,7.535284623973049e-05,5,3063,0.01220716109083634,True
Kumar et al. 2021,olmo32b,Ethnicity: Black,8.271063378025222,1.2473233235295062e-06,5,2903,0.00028438971776472745,True
Kumar et al. 2021,olmo32b,Ethnicity: Hispanic,8.399777031000479,9.7694792327452e-07,5,3054,0.00022567497027641413,True
Kumar et al. 2021,olmo32b,Ethnicity: Multiracial,8.29423274619776,1.1911513382747985e-06,5,3007,0.00027396480780320364,True
Kumar et al. 2021,olmo32b,Ethnicity: Other,7.650907762883831,3.939799113416649e-06,5,3089,0.0008273578138174963,True
Kumar et al. 2021,olmo32b,Ethnicity: Unknown,7.98467621765043,2.1215788505874193e-06,5,2999,0.00046462576827864484,True
Kumar et al. 2021,olmo32b,Ethnicity: White,7.878866389087618,2.579745206592337e-06,5,3061,0.0005546452194173524,True
Kumar et al. 2021,olmo32b,Gender: Female,13.311185567059344,8.852498238443262e-11,5,4183,2.6203394785792055e-08,True
Kumar et al. 2021,olmo32b,Gender: Male,11.750536614966347,1.7227182194686179e-09,5,4097,4.840838196706817e-07,True
Kumar et al. 2021,olmo32b,Gender: Nonbinary,13.826622260343331,3.341798876699705e-11,5,4008,9.958560652565122e-09,True
Kumar et al. 2021,olmo32b,Gender: Unknown,7.909021383427582,2.394469395009853e-06,5,4124,0.0005172053893221282,True
Kumar et al. 2021,olmo32b,Has Been Targeted: False,12.703144155958345,2.7557822370285765e-10,5,4920,7.964210665012586e-08,True
Kumar et al. 2021,olmo32b,Has Been Targeted: True,12.80510449286868,2.271087252962763e-10,5,4889,6.631574778651269e-08,True
Kumar et al. 2021,olmo32b,Is Parent: No,12.21862242223632,7.000520039592681e-10,5,4513,1.9881476912443216e-07,True
Kumar et al. 2021,olmo32b,Is Parent: Prefer not to say,13.05406500833007,1.4259685146708925e-10,5,4568,4.192347433132424e-08,True
Kumar et al. 2021,olmo32b,Is Parent: Yes,13.362673178271532,7.941338239991845e-11,5,4488,2.358577457277578e-08,True
Kumar et al. 2021,olmo32b,Is Transgender: No,12.459172306328645,4.428407421378235e-10,5,4534,1.2709529299355534e-07,True
Kumar et al. 2021,olmo32b,Is Transgender: Prefer not to say,10.603203598824594,1.5002518142273154e-08,5,4474,4.116527279628921e-06,True
Kumar et al. 2021,olmo32b,Is Transgender: Yes,11.739835772118797,1.738074660961987e-09,5,4520,4.866609050693563e-07,True
Kumar et al. 2021,olmo32b,Political Affiliation: Conservative,10.613049349044474,1.496919010774153e-08,5,3788,4.116527279628921e-06,True
Kumar et al. 2021,olmo32b,Political Affiliation: Independent,8.857179267183557,4.085417060888745e-07,5,3748,0.00010133896044820645,True
Kumar et al. 2021,olmo32b,Political Affiliation: Liberal,8.689434266929155,5.610061995629397e-07,5,3612,0.00013351947549597966,True
Kumar et al. 2021,olmo32b,Political Affiliation: Other,6.283930293311196,4.903484298010984e-05,5,3610,0.008384958149598783,True
Kumar et al. 2021,olmo32b,Political Affiliation: Prefer not to say,9.444590792247702,1.3595644729172528e-07,5,3623,3.5348676295848575e-05,True
Kumar et al. 2021,olmo32b,Religion Important: 1) No,10.186418652933565,3.369409034033776e-08,5,3568,9.131098482231533e-06,True
Kumar et al. 2021,olmo32b,Religion Important: 2) Not very,9.907348409572174,5.678215645054025e-08,5,3714,1.5104053615843707e-05,True
Kumar et al. 2021,olmo32b,Religion Important: 3) Somewhat,9.669054931523778,8.900799055432514e-08,5,3681,2.340910151578751e-05,True
Kumar et al. 2021,olmo32b,Religion Important: 4) Very,10.919137049819717,8.390608324087451e-09,5,3803,2.3325891140963115e-06,True
Kumar et al. 2021,olmo32b,Religion Important: Prefer not to say,9.124474223073042,2.4747050889014827e-07,5,3733,6.310497976698781e-05,True
Kumar et al. 2021,olmo32b,Seen Toxicity: False,12.362590277662212,5.270352531473859e-10,5,4919,1.50205047147005e-07,True
Kumar et al. 2021,olmo32b,Seen Toxicity: True,12.61045849112278,3.288570263650697e-10,5,4910,9.471082359314008e-08,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Bisexual,8.744817674895703,5.04678094326588e-07,5,3714,0.00012061806454405454,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Heterosexual,8.951189761681498,3.4288343698450066e-07,5,3692,8.572085924612516e-05,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Homosexual,10.137584507593994,3.6848930603944377e-08,5,3658,9.949211263064982e-06,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Other,8.420378830166399,9.277114305938659e-07,5,3646,0.0002152290518977769,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Prefer not to say,9.673219419427612,8.833057165515704e-08,5,3673,2.331927091696146e-05,True
Kumar et al. 2021,olmo32b,Technology Impact: 1) Very negative,9.388285944468102,1.5111608883023998e-07,5,3628,3.898795091820191e-05,True
Kumar et al. 2021,olmo32b,Technology Impact: 2) Somewhat negative,8.82936077665726,4.301856390241954e-07,5,3776,0.00010571341647560025,True
Kumar et al. 2021,olmo32b,Technology Impact: 3) Neutral,8.769197050142921,4.817695067711498e-07,5,3753,0.0001161064511318471,True
Kumar et al. 2021,olmo32b,Technology Impact: 4) Somewhat positive,9.73105295722884,7.894619355525835e-08,5,3817,2.0920741292143463e-05,True
Kumar et al. 2021,olmo32b,Technology Impact: 5) Very positive,11.432913665165104,3.1885356039026262e-09,5,3668,8.896014334888327e-07,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 1) Never,8.957720548819072,3.3873627408499527e-07,5,3688,8.502280479533381e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 2) Rarely,9.418044477893874,1.4272694736454456e-07,5,3678,3.696627936741704e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 3) Occasionally,9.567325509335546,1.0792391623227636e-07,5,3628,2.8276066052856407e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 4) Frequently,9.451815559372768,1.3407389815724202e-07,5,3638,3.499328741904017e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 5) Very Frequently,8.585901493894204,6.796285853521587e-07,5,3719,0.00015971271755775728,True
Kumar et al. 2021,qwen32b,Age: 1) 18 - 24,3.048204111738868,0.01612860053911457,5,2760,0.9193302307295305,False
Kumar et al. 2021,qwen32b,Age: 2) 25 - 34,1.8305936888494818,0.1201417490405324,5,2700,1.0,False
Kumar et al. 2021,qwen32b,Age: 3) 35 - 44,2.964374457082991,0.01861132329779063,5,2749,1.0,False
Kumar et al. 2021,qwen32b,Age: 4) 45 - 54,4.315558018419534,0.0017560983071204029,5,2744,0.17560983071204028,False
Kumar et al. 2021,qwen32b,Age: 5) 55 - 64,3.3930028480269625,0.008904407534923144,5,2740,0.5965953048398506,False
Kumar et al. 2021,qwen32b,Age: 6) 65 or older,3.569303929737358,0.006545647801463302,5,2944,0.46474099390389445,False
Kumar et al. 2021,qwen32b,Age: Prefer not to say,2.0750422540948246,0.08149730441464965,5,2710,1.0,False
Kumar et al. 2021,qwen32b,Age: Under 18,4.226434336870396,0.0020580495962964325,5,2734,0.1955147116481611,False
Kumar et al. 2021,qwen32b,Education: 1) No high school,1.3370314690558232,0.253742205041122,5,2454,1.0,False
Kumar et al. 2021,qwen32b,Education: 2) High School graduate,2.2899447807389683,0.057564722244811316,5,2289,1.0,False
Kumar et al. 2021,qwen32b,"Education: 3) College, no degree",2.7796335386646422,0.02550899769756437,5,2220,1.0,False
Kumar et al. 2021,qwen32b,Education: 4) Associate degree,2.2113864630333744,0.06542377275572178,5,2330,1.0,False
Kumar et al. 2021,qwen32b,Education: 5) Bachelor's degree,3.1118888144430774,0.014486336119760943,5,2360,0.8546938310658957,False
Kumar et al. 2021,qwen32b,Education: 6) Master's degree,2.0038980588251025,0.09138377200253092,5,2345,1.0,False
Kumar et al. 2021,qwen32b,Education: 7) Professional degree,3.429534641983205,0.00837347388824286,5,2379,0.5693962244005145,False
Kumar et al. 2021,qwen32b,Education: 8) Doctoral degree,5.624215297602303,0.00016697520914772567,5,2323,0.024962370860737007,True
Kumar et al. 2021,qwen32b,Education: Other,1.2802859623007532,0.2754251048736358,5,2374,1.0,False
Kumar et al. 2021,qwen32b,Education: Prefer not to say,2.0033891633485092,0.09143259660034911,5,2515,1.0,False
Kumar et al. 2021,qwen32b,Ethnicity: Asian,4.469921777480675,0.0013300918787057297,5,3064,0.14098973914280735,False
Kumar et al. 2021,qwen32b,Ethnicity: Black,3.31215741031497,0.01023602452762016,5,2904,0.6653415942953104,False
Kumar et al. 2021,qwen32b,Ethnicity: Hispanic,4.325543387356677,0.001721361527626674,5,3055,0.17444260758903657,False
Kumar et al. 2021,qwen32b,Ethnicity: Multiracial,3.162172124167908,0.013253544560860848,5,3009,0.8084662182125117,False
Kumar et al. 2021,qwen32b,Ethnicity: Other,2.886355756853376,0.021232644892252534,5,3089,1.0,False
Kumar et al. 2021,qwen32b,Ethnicity: Unknown,3.615876220797954,0.006032590315618723,5,3000,0.44037909304016676,False
Kumar et al. 2021,qwen32b,Ethnicity: White,2.8905738089530804,0.021082310851573683,5,3065,1.0,False
Kumar et al. 2021,qwen32b,Gender: Female,3.9644286961875275,0.003253818817223192,5,4184,0.28579040091997654,False
Kumar et al. 2021,qwen32b,Gender: Male,3.0440720845080054,0.016192045655547955,5,4099,0.9193302307295305,False
Kumar et al. 2021,qwen32b,Gender: Nonbinary,2.8491401205266897,0.02257860042028418,5,4009,1.0,False
Kumar et al. 2021,qwen32b,Gender: Unknown,3.9113216416278025,0.003574747460720345,5,4123,0.30385353416122934,False
Kumar et al. 2021,qwen32b,Has Been Targeted: False,4.509595790290193,0.0012290995380972935,5,4919,0.13301662246124812,False
Kumar et al. 2021,qwen32b,Has Been Targeted: True,4.958658261045758,0.0005472724244058464,5,4889,0.07059814274835419,False
Kumar et al. 2021,qwen32b,Is Parent: No,3.6825260871201024,0.005343595057645329,5,4514,0.41145681943869034,False
Kumar et al. 2021,qwen32b,Is Parent: Prefer not to say,4.51414916395657,0.0012203359858830103,5,4569,0.13301662246124812,False
Kumar et al. 2021,qwen32b,Is Parent: Yes,5.078283886606313,0.00044133017391963805,5,4489,0.05869691313131186,False
Kumar et al. 2021,qwen32b,Is Transgender: No,3.7992235756882677,0.004352062101740299,5,4534,0.3525170302409642,False
Kumar et al. 2021,qwen32b,Is Transgender: Prefer not to say,3.5278028182045174,0.007006743573385914,5,4474,0.49047205013701395,False
Kumar et al. 2021,qwen32b,Is Transgender: Yes,4.533309254167983,0.001179287566409498,5,4520,0.1297216323050448,False
Kumar et al. 2021,qwen32b,Political Affiliation: Conservative,3.605336050472796,0.006128093861359574,5,3789,0.44122275801788935,False
Kumar et al. 2021,qwen32b,Political Affiliation: Independent,2.422240104716071,0.04619578375557615,5,3749,1.0,False
Kumar et al. 2021,qwen32b,Political Affiliation: Liberal,4.925220042650988,0.0005847144169413544,5,3614,0.07484344536849337,False
Kumar et al. 2021,qwen32b,Political Affiliation: Other,4.45846434429067,0.0013534029151389747,5,3609,0.14210730608959235,False
Kumar et al. 2021,qwen32b,Political Affiliation: Prefer not to say,4.149029897097768,0.002349935192184973,5,3624,0.2161940376810175,False
Kumar et al. 2021,qwen32b,Religion Important: 1) No,3.8821316579851577,0.0037704180692315313,5,3570,0.3129446997462171,False
Kumar et al. 2021,qwen32b,Religion Important: 2) Not very,3.6360872184653132,0.005808136301862146,5,3714,0.42980208633779876,False
Kumar et al. 2021,qwen32b,Religion Important: 3) Somewhat,3.905007438145221,0.0036197588679791853,5,3684,0.30405974491025156,False
Kumar et al. 2021,qwen32b,Religion Important: 4) Very,3.3365123049981213,0.009787306904386141,5,3804,0.6459622556894853,False
Kumar et al. 2021,qwen32b,Religion Important: Prefer not to say,2.946691686596083,0.01913522611605234,5,3734,1.0,False
Kumar et al. 2021,qwen32b,Seen Toxicity: False,4.490234552573037,0.0012725289256476713,5,4919,0.13616059504430084,False
Kumar et al. 2021,qwen32b,Seen Toxicity: True,4.57123456524075,0.0011003908988094317,5,4909,0.12324378066665635,False
Kumar et al. 2021,qwen32b,Sexual Orientation: Bisexual,3.67939589005804,0.005383562894953478,5,3715,0.41145681943869034,False
Kumar et al. 2021,qwen32b,Sexual Orientation: Heterosexual,4.655913752573922,0.0009494231207091883,5,3694,0.11013308200226585,False
Kumar et al. 2021,qwen32b,Sexual Orientation: Homosexual,4.779190345265646,0.0007606993163000201,5,3660,0.09146292970693791,False
Kumar et al. 2021,qwen32b,Sexual Orientation: Other,2.710151587867943,0.028572843028626272,5,3649,1.0,False
Kumar et al. 2021,qwen32b,Sexual Orientation: Prefer not to say,3.8309264838657873,0.004125143424020945,5,3674,0.3382617607697175,False
Kumar et al. 2021,qwen32b,Technology Impact: 1) Very negative,4.788168861832202,0.0007486283416588317,5,3628,0.09146292970693791,False
Kumar et al. 2021,qwen32b,Technology Impact: 2) Somewhat negative,2.959221343953767,0.018729260575946396,5,3779,1.0,False
Kumar et al. 2021,qwen32b,Technology Impact: 3) Neutral,3.975417861968729,0.0031954314768981047,5,3754,0.28579040091997654,False
Kumar et al. 2021,qwen32b,Technology Impact: 4) Somewhat positive,3.713909780427007,0.0050656209649067975,5,3819,0.3951184352627302,False
Kumar et al. 2021,qwen32b,Technology Impact: 5) Very positive,3.125935271442806,0.014081172654804963,5,3675,0.8448703592882978,False
Kumar et al. 2021,qwen32b,Toxicity Problem: 1) Never,4.693733001491155,0.0008870135642015999,5,3695,0.10378058701158718,False
Kumar et al. 2021,qwen32b,Toxicity Problem: 2) Rarely,2.8093879184485604,0.024164228906082642,5,3679,1.0,False
Kumar et al. 2021,qwen32b,Toxicity Problem: 3) Occasionally,3.4571137876397375,0.007940859207873938,5,3629,0.5479192853433017,False
Kumar et al. 2021,qwen32b,Toxicity Problem: 4) Frequently,3.979194714438233,0.0031754488991108504,5,3640,0.28579040091997654,False
Kumar et al. 2021,qwen32b,Toxicity Problem: 5) Very Frequently,3.297873374572131,0.010466762544733084,5,3719,0.6698728028629174,False
Kumar et al. 2021,qwen7b,Age: 1) 18 - 24,4.233372515115505,0.0020327147423562326,5,2741,0.19514061526619833,False
Kumar et al. 2021,qwen7b,Age: 2) 25 - 34,6.208004225820328,5.7094809514808864e-05,5,2678,0.009306453950913845,True
Kumar et al. 2021,qwen7b,Age: 3) 35 - 44,4.9271502784093375,0.0005868130821085346,5,2729,0.07484344536849337,False
Kumar et al. 2021,qwen7b,Age: 4) 45 - 54,4.182512582838155,0.0022252564038489275,5,2723,0.20694884555795026,False
Kumar et al. 2021,qwen7b,Age: 5) 55 - 64,3.94868155932314,0.0033666635703380747,5,2714,0.28953306704907444,False
Kumar et al. 2021,qwen7b,Age: 6) 65 or older,5.739570988048216,0.0001340492459239381,5,2918,0.020777633118210407,True
Kumar et al. 2021,qwen7b,Age: Prefer not to say,6.697339999810694,2.3217321765916176e-05,5,2687,0.004179117917864912,True
Kumar et al. 2021,qwen7b,Age: Under 18,5.290109380045065,0.0003044834107598405,5,2712,0.04293216091713751,True
Kumar et al. 2021,qwen7b,Education: 1) No high school,3.7317454906270813,0.004940561102037077,5,2432,0.3903043270609291,False
Kumar et al. 2021,qwen7b,Education: 2) High School graduate,4.332907207219517,0.0017102216430297703,5,2276,0.17444260758903657,False
Kumar et al. 2021,qwen7b,"Education: 3) College, no degree",2.329803128828881,0.05394058126383915,5,2199,1.0,False
Kumar et al. 2021,qwen7b,Education: 4) Associate degree,7.0214983111552645,1.2896555773742593e-05,5,2311,0.002411655929689865,True
Kumar et al. 2021,qwen7b,Education: 5) Bachelor's degree,4.742849434219137,0.0008212334489884416,5,2342,0.09690554698063611,False
Kumar et al. 2021,qwen7b,Education: 6) Master's degree,2.1668783956677555,0.07032313430055072,5,2325,1.0,False
Kumar et al. 2021,qwen7b,Education: 7) Professional degree,3.6602078145505006,0.005602777298918463,5,2360,0.4202082974188847,False
Kumar et al. 2021,qwen7b,Education: 8) Doctoral degree,4.65359765922179,0.0009641666904367149,5,2311,0.11059292640657854,False
Kumar et al. 2021,qwen7b,Education: Other,7.262531899259804,8.252822965826203e-06,5,2352,0.0016093004783361096,True
Kumar et al. 2021,qwen7b,Education: Prefer not to say,4.438426319067725,0.001413784560043672,5,2489,0.14703359424454188,False
Kumar et al. 2021,qwen7b,Ethnicity: Asian,4.772371567260787,0.0007732581865643435,5,3040,0.09201772420115688,False
Kumar et al. 2021,qwen7b,Ethnicity: Black,4.312415661510112,0.0017641488988267263,5,2882,0.17560983071204028,False
Kumar et al. 2021,qwen7b,Ethnicity: Hispanic,6.649637572260537,2.5190075920131734e-05,5,3029,0.004458643437863317,True
Kumar et al. 2021,qwen7b,Ethnicity: Multiracial,5.856381545808689,0.00010819397686801198,5,2986,0.016986454368277882,True
Kumar et al. 2021,qwen7b,Ethnicity: Other,6.4607529173369915,3.565464770302757e-05,5,3066,0.006203908700326798,True
Kumar et al. 2021,qwen7b,Ethnicity: Unknown,4.973924022696822,0.0005380142512364189,5,2978,0.07041857141471142,False
Kumar et al. 2021,qwen7b,Ethnicity: White,4.9741057259050425,0.0005375463466771864,5,3039,0.07041857141471142,False
