comment,inherent_polarization
*nothing (damn auto correct),0.0
"*you miss your shots, as expected from anti Pun scum* *i pull out an rpg and destroy the car* *i unload MY pistol into your direction*",0.0
......and McPherson of course,0.0
......that looks so strange,0.0
"/u/Vindex101 Still dunno what THAT part of Vivid Strike is, but in [episode 1](/s ""nearly the whole squad from Vivid gave our new girl the yuri hazing of her fucking life as an introduction""), and at the end of [episode 3](/s ""the contender for a space MMA championship title just choked slammed her childhood friend in a hallway while half a dozen other highly trained fighters including the champion herself sat and watched, and then the other girl checked her right back for it""), so if I'm not yet at THAT part, then THAT part must be fucking _awesome._",0.0
1. Border invasion Emergency. Anything else... Mosquitos... Chick fil a closed on Sundays... This.,0.0
100% True Story....NINJA SKILL EXTREME ACTIVATE!!! ⚔️👊⚔️👊⚔️🖕🕷️🕸️ #spiderweb #spider NOT MY #frontdoor #asshole #ninja #lostit #smh 😈,0.0
17. Which assumes I am racist in the first place. Which is hilarious inaccurate for reasons I won't go into.,0.0
"20 or 30 years is not \""short term\"" and businesses realize that soon immigrants will start asking for more benefits and pay and create a situation that will bleed them dry. ",0.0
22M’s 🤯🤯 GAHDAMNN and that dont even include all the ppl who reposted the vid and shit like that,0.0
76 is not Fallout 76 is a bad joke in form of a game And Bethesda is already shitting all over Fallout lore so....,0.0
8. Only with your bare hands? I bet you can only do handjobs,0.0
98 mph first serve on fh and he dumps it into the net.,0.0
A #hashtag or two would probably reach more of the people,0.0
A Hung Tgirl with a nice booty to eat is all I need right now!,0.0
A crazy bitch on the bus doing fucked up shit doesn't mean all women are like that. And it certainly doesn't mean men are oppressed.,0.0
A girlfriend isn't just a hole for you to put your willy in,0.0
A liberated woman is one who has sex before marriage and a job after. ~Gloria Steinem #quote,0.0
A man said if I’ve got a bf why am I wearing air forces 🤣,0.0
A rare example of its usage by a NSDAP member can be taken from a 1931 work by Joseph Goebbels called The Nazi-Sozi: Questions and Answers for National Socialists. Since the rise of Cultural Marxism the term has been used as a broad Europhobic epithet,0.0
A very high probability that I will have to drive 98% of the way to portland tomorrow and I really don't want to. goddammit...,0.0
"ABC,CBS,NBC! Are Traitors To The American Republic! For Not Showing The 4th Of July Parade And Other Activities Showing How Great America Really is! Plus Haters Of Our POTUSA Trump! Friggen Blood Thirsty Bolsheviks Are What They Are! POTUSA Trump is MAGA! What Is wrong With That?",0.0
AD Malz was God Tier sleeper op. I had perfected my build and strats right before the mage rework. Fuckking riot games..... Just when my teams started listening to my playstyle started giving my four 400+ AD voidlings peel. We would melt everyone,0.0
AOC hates America . She said she did t care about our veterans not fallen soldiers . I had people who had family in the military who died and they cried just hearing AOC speak. She needs to #RESIGN,0.0
ARRRRRRRRRRRIIIIIIIIIIIIIIIIIIIIP!!!,0.0
Absolutely under pressure middle order failed miserably...#CWC19,0.0
"Aelia Capitolina existed BEFORE Hadrian as did the temple of Jupiter on the \""Temple Mount\"" aka Jove (Jo-ve.... Yahweh... same fucking word). Josephus lied. He said the entire city was raised to the ground. There is no archeological evidence of this. The \""Western Wall\"" was never part of a temple",0.0
"Agree'd buddy, I hope more people think like this and just don't vocalize it compared to the loud portion of miserable people projecting others and labeling everyone when they clearly don't have a good grasp on themselves. Its just not cool to be nice too people right now. The cool thing is to deliberately shit on people with intent and no sarcasm or humor. Just serious vile accusations that I bet 99% of them don't even care about after they type it out... I left facebook for the exact reason you said. People I know had 2 personas, 1 for online and 1 for in person. I didn't like the online personas of any of them so I quit. I gotta quit reddit at some point, alot of the time it does nothing good in my opinion. Just creates more strife with no purpose. Dumb.",0.0
"Ah and here I was thinking cross hatching was a piece of sht no one used, ggs",0.0
"Ah, I get it now. Walked right into that one - that's some fine trolling you're doing.",0.0
"Ahh you must be referring to dancing jimmy, yeah he’s dead.",0.0
"Ahh, so you’re a lovely blend of climate science denial and looney conspiracy theory. The inside of your head must be a wonderland of implausibility.",0.0
Ajit I can honestly say absolutely no one in England gives a shit if you’re not supporting England anymore 👍,0.0
Alcohol right up there with cigs. Another socially acceptable drug. Ill sign up to get rid of that.,0.0
All my situations be so toxic when u find the perfect person for u and life isn’t fair that shit hurts. So u just gotta throw the whole friendship away 😪,0.0
All that only applies if you consider getting pregnant to be harmful. The way you talk about it makes it sound like a guy just gave you cancer with his dick,0.0
All the South Africans on my TL data don finish,0.0
All you need is that good ass blanket on tha bottom,0.0
Alright I used to absolutely hate my hair in ponytails cause I thought I looked like a boy and I probably did but now I dig it.,0.0
"Also LOL @ \""committed same-sex relationship\"". That's like what...0.001% of same-sex relationships?",0.0
"Also the transportation and health care both free , and from time to time they give you double your salary as gift , while obama said iraq war was for oil and Afghanistan was for marijuana",0.0
Also this kind of shit is why the Hispanic label should be abolished and people shouldn't be allowed to pick more than one race. When you force everyone to pick one without additions close to 75% of the population of America would pick white. SJWs are only winning because they're dividing potentially white people against one another by breaking up the monolithic white majority into manageable pieces.,0.0
Always two there are no more no less...,0.0
Always watching your back! 😂 Miss you my fat distant work wife,0.0
Always wondered why train tickets cost so much to London... Now i know :D,0.0
"Amanda NeverTrump-ing as always, it's like a mental illness with you guys at this point",0.0
Amber wants to cuss him OUT! #LoveIsland,0.0
"America hates gingers. First Walker, now Jeremiah.",0.0
Amy is a wierd name for a guy but whatever... are you a Democrat?,0.0
And also Mostly Indonesia against the law to protect women such like “marital rape” 🙄🙄🙄🙄,0.0
And it makes you watch a significant portion of that despite that it was only 8 episodes ago.,0.0
"And then there is the disparity between how #Assange is being treated and the vile, human trafficking, pedo Epstein!",0.0
"And trying to \""control\"" sub-humans is pointless as any human should be focused on their total eradication.",0.0
And you can't buy them ...,0.0
"And you just LIED, you don't know what was already wrong with that man!!,coming from wherever,coming through whatever,him like some of the others, were &amp; are already sick when they come here !!!",0.0
And you know what? I hope they keep making bad decisions. Screw the Hawks.,0.0
And you sir are a bully of magnitude proportions. Your name calling shows you have the emotional intelligence of a 5 year old. P.S. your (current) wife’s cause is to stop cyber bullying. Get on board! #MelaniaTrump,0.0
Angry Kike is crying on Jewtube,0.0
Another denier in the black community.,0.0
Another journalist in court over course in Germany,0.0
Another set of neon leopards for my bestie off on a hen do! @Gelish Passion and Look At You Pink-Achu! • #nailappointment #nailart #nailinspo #nails #nailtech #mobilenailtech #gelmani #gelnails #gels #nailharmony #makethemgelish #gelish #gogelish #harmonyarmy #nailart,0.0
Are you gonna write a big mean and scary letter? Ooohhhhh....lots of words. That ought to show them! You need to pass the torch to someone who gets shit done. #ImpeachmentInquiryNow,0.0
"Are you jealous because you can't get pussy? Don't worry, puberty will hit soon.",0.0
Aren't you the same one who kept people longer in jail than they had to be because you like slave labor?,0.0
As a white girl I have nothing against WM/AF. In fact I'm barely even aware it exists. I never really notice. But it does get me that these Asian girls are basically coolie scabs who will work under the worst conditions. So they lower the standards for all women. Asian girls don't mind being China doll whores. I mean they basically are a race of prostitutes. No offense or anything,0.0
"As an actual ""encrypted"" comm? So annoying. PGP can be useful for out-of-band authentication/begin-of-comunication and then switch to signal.",0.0
At least my theoretical backyard has a pool,0.0
August 15 to be exactly ☝🏻,0.0
Awesome. I’m sure I’ll get sucked in very quickly.,0.0
Ay I know this is an old ass comment but look up meditate by earthgang featuring JID. You won’t be disappointed.,0.0
Baekhyun got a dispatch photoshoot honey I’ll get you out of there,0.0
Bang on! You hammered ‘em down into bits and pieces!,0.0
Basically blacks inherited a wealthy city hoping to suck it dry,0.0
"Basically your entire argument for weed is based on a stereotype of what weed smokers are and saying ""fuck hippies""?",0.0
Because he or his lawyers said so? How about affidavit from a 13-year-old who talked about how Epstein procured her for Trump. Trump bragged about assaulting women and walking in on teenagers changing clothes. Said he'd be dating a 10-year-old in a few years. I'm sick of this.,0.0
Bench players talking like starters I hate it,0.0
Big moves are happening with Northern Ireland and abortion law as of a few hours ago:,0.0
Birds of a feather flock together 😡#EpsteinIsTrumpsBFF,0.0
Bitches be really pressed of me lol like wow I didn’t know I was admired by my fans like that,0.0
Black men treat spanish women like trophy’s .. especially hustlers,0.0
Botanical gardens are always a good idea,0.0
"British guys really be wearing above the knee jeans shorts, you really hate to see it",0.0
Bruh gtfo of here with that 😂 that was debunked already go find that don’t come to me with gossip you found in the internet this ain’t grade school,0.0
But a power line goofy movie crossover would be dope,0.0
"But fine go on being that simple minded child. Try your best to meek out a painful existence living in your own depravity. You're only excuse being \""But",0.0
"But not beneath Dan, because he really loves drinking pissy lemonade.",0.0
"But now, they have 9.4M followers. 🤟😭",0.0
"But the Jews are actually the \""real Nazis",0.0
By the time we were 13 my friends &amp; I had been catcalled by grown men. We had more than one make disgusting remarks about us &amp; our age. This is NOT okay. It is not NORMAL. We were not “underaged women”. We were children. These types of men are disgusting. #protectourgirls,0.0
"CAPITALISM, in this era??? What a scandal! I'd rather make a skin for a champ with 100 sure buyers than a champ with 10 buyers. OBVIOUSLY.",0.0
COMES,0.0
CU Nursing is making changes to the way it teaches nurses. Lawmakers and university administrators have highlighted the seriousness of mental health issues and the College plans a rollout of a new curriculum this fall. See what’s behind it. #CUNursing,0.0
Camaroonian child soldier.,0.0
Came across your stream a while ago. And was like holy fuck this dudes cracked. Then you blew up. And that’s great.,0.0
Can someone pls help my future husband find his way to my heart already? 🥺,0.0
Can't believe y'all arguing with niggas who don't have any facial hair. Couldn't be me.,0.0
"Child rape isn't something to laugh about, but please continue showing the world the disgusting nature of trumpers.",0.0
Christianity is a journey of figuring out how to love the world. #grumpypastor,0.0
Citation needed. He came up with his theory following his astronomical observations; he didn't just pull it out of his backside.,0.0
City girls are mostly girls that were kicked out from the country for their harmful activities that could influence the other girls,0.0
"Clicked on this and wondered if someone would do the token ""you dorks like digital buTt lol."" Figured nah, not here. Sorry to say it, m'guy, but in my experience it's the dudes who come in swinging this stuff who tend to be transferring a bit of insecurity themselves. Like you didn't play Mortal Kombat back in the day and appreciate the ladies out fighting in their suntanning kit, come on, be real for a second lol.",0.0
Community groups raising money to pay court fines and fees for former felons so they can register to vote in Florida -,0.0
Completed Black Legion Dark Apostle and Dark Disciples 😊 #siegestudios #warhammer #warmongers #40k,0.0
Completely irrelevant to the point,0.4999999999999999
"Constantly saying your ugly to boys your interested in trying to get compliments, honestly you could be the hottest girl ever and this will turn me immediately off.",0.0
Cries about being small..says he will fight anyone Anyone obliges and......u guessed it...He was 3 times my size hahah,0.0
Cuckold Joseph?,0.0
"DONT THINK I WOULD FORGET YOU, @russelbuck! The time we spent together was MAGICAL as hell, you're so fucking sweet and you've got such a magnetic personality with an infectious smile, playing rockband with you and just chatting was amazing! I'm glad I FINALLY got to buy your CD!",0.0
Damm I wish it was my dick👅👅👅👅👅👅👅👅🍆,0.0
Damn I forgot she snuck up on Jon in that same spot too!,0.0
Damn I forgot to leave my AC on 🥵,0.0
Damn I laughed way to hard at my last tweet 😂😂,0.0
Damn anybody up 👀 let’s get high,0.0
"Damn baby, your stunning. I walk you anywhere",0.0
Damn lol and people were saying he flopped,0.0
Damn that kid upped his ignorant insults at the end.,0.0
Damn! Now that's a read Ayanna but then she deserve it,0.0
Damn! The curves on this one!,0.0
Dear mr Cleese tone it down to a level we mere mortals can understand and you will get a better response to your rant s .ps big fan,0.0
"Definitely not scared to fly tomorrow, I mean what’s the worst that could happen? 🤷🏻‍♀️ (IT COULD FALL CRASH AND WE COULD ALL DIE, THAT’S WHAT🤦🏻‍♀️)",0.0
Demo Team B 0 - 2 Demo Team A 90:00: The final whistle has blown!,0.0
Did that white box just made fun of the blue box that had man-in-cock?,0.0
Did you miss your bf when he was in jail for curb stomping that black guy?,0.0
"Didn't see a singsong Lots of resistance, through Rather shallow propaganda from you",0.0
Didn’t Tlaib vote against funding to help those children at the border? Hypocrite,0.0
Disgusting women are not objects to be ogled my rich white entitled men! #DumpPervertWhiteHouse,0.0
"Do it. For yourself at the very least and have fun with it. Also gives you more opportunities to learn about music styles, choices, etc. through research. Like when one song has a beat that calls back to an old song that tells more to the story.",0.0
Do you know how to use Google? It's wicked useful for that kind of thing.,0.0
Do you not see how this convo is going ???? They ain’t gonna want our crazy asses there 😂,0.0
Do you want to go to the titty twister ?,0.0
Doggo is not impressed,0.0
Don't Jews mutilate their children all the time and yet you celebrate them and invite them on your show like that hag Laura Loomer.,0.0
Don't blame you I packed in a few years ago now and went to the odd game since but definitely not going back until this guy has gone.,0.0
Don’t let @NoFridayy fool y’all he is a BARB at heart and is delusional for his STANmembership of the Queen @NICKIMINAJ . 🤪,0.0
Don’t make fun of me but either careless whisper or tiny dancer,0.0
"Don’t need a gun, just a pair of balls.",0.0
"Don’t talk rubbish! He only did his job, which is to report, confidentially, to the Govt, with his views on the Trump admin - views borne out by what many others have said. And confirmed by Trump’s appalling, infantile response. Blame the treasonous Daily Mail for the leak!",0.0
"Dudes under 6’2 have toddler bodies? C’mon devil dog, you’re better than that",0.0
EPA's new public records rule lets Trump administration pollute in private,0.0
Easily just gained another 100k followers from that little load of shite we just watched,0.0
Ehhh why are you crying? #LoveIsland,0.0
"Even if i wanted to believe in that.. Those photos of them together seem staged. And, besides they've had dating rumors for years now, and they are dating now all of the sodden when they've just released a song together... It makes me believe this is a pr",0.0
"Every time I have been to a GP or A and E they always use Google and medscape, right in front of me, so how is it not ok for us to work things out too?",0.0
"Everybody is trying to be on my research committee. Bring y’all ass, we about to make history. Just know ya name gonna be in the smallest print.",0.0
Exactly. And then you ignored me and didn’t come. So you flaked. You’re a flake. A flake from Salt Lake.,0.0
"Excuse me sir, I'm not the one who's trying to call someone who was there a liar",0.0
FAIL: deflection isn't a valid rebuttal.,0.0
FUCK THAT! I want my black genes to be so god damn diluted that by the third generation its just a white guy with a 70s looking fro.,0.0
"FUCK the refs! Missed our And-1, and BS calls on the other side!",0.0
FYI: Those big black eyes on alien greys aren't they're eyes,0.49999999999999944
Facebook Censorship’s Thanks Ordered 3.5 Million Extra FEMA Camps Coffins ⚰️ Damn FuckUps At SeeYa Florida All The Way To Texas Found HomeBoy Deader Door Nail At International Airport He Tested JY384 Ends DumbAsses Overseas,0.0
Fact: None of these differences in privilege really matter all that much. Oh,0.0
Fair enough if you didn't know. Sorry for being a dick about it.,0.0
"Falling so hard for this girl. Always making my mornings great, my whole ass days great &amp; nights.. I never felt this kinda love in my life 💗",0.0
Feed your soul. Waterfall Glen Soap Company #vegansoap #naturalcosmetics #buylocalchicago #bulgariangirls #waterfallglen #bulgariangirl #balkanbeauty,0.0
"Feel free to send boobies. Many thanks, Xx_NoobSlayer_xX",0.0
Feeling empty inside and not hearing ily from someone you wanna hear it from sucks,0.0
"Feeling like crap is one thing but looking like it too, now that just sucks🤢😫",0.0
"Fetish Fantasy Series Perfect Touch Vibrating Pussy Pump via @YouTube Our ""Deal of the Day""",0.0
Fie channeled Blublanc oh my,0.0
"Finals let’s get it 🤑 Playing Lazy, And Toonki and a shitter",0.0
"First I wanna say, I appreciate your efforts to try and help guys like me. And these are nice maxims to believe in. I want to believe in them. &amp;#x200B; HOWEVER... I saw the original post, and it's really telling that you had to take out the part about women who date/validate ""womanizing, arrogant, rude, yet physically attractive"" men. And how that's not the best thing to do. To date men like that and validate thinking like that. I thought that was a fair point to make, in fact that's kinda at the core of the incel ethic. But somehow that's too controversial a viewpoint to preach. &amp;#x200B; And that's why we're angry. Because we're saying ""We thought being a womanizing jerk was bad and that people who support that shouldn't do that!"" And in response, the world says ""Shut up incel, you're just entitled."" We're confused at a world that, at face value, claims to be about the content of your character, where all you have to do is be yourself and be decent and the right people will gravitate towards you, but any time we point out a jerk who gets ahead, we're accused of being the jerks and that the jerks we've fingered have done nothing wrong.",0.0
"First, deal with oral dysbiosis. Second, deal with oral dysbiosis. Third .....",0.0
"Flopped harder than Rihanna after your buddy Chris Brown smashed her face into the steering wheel, amirite?",0.0
"For real cuz I know how hurt you feel when someone you're not even in love does you wrong in some way so I can't even imagine how that shit must feel if someone you're truly in love with does it, OMG just thinking about that shit got me shook😩",0.0
Free sex #blowjob #xxx #porn #sex #hot #fuck #teen,0.0
"French star, Antoine Griezmann is walking on a tight rope after Atletico Madrid issued a press statement, alleging breach of contractual obligations from the player's end.",0.0
From the pictures they look good as hell but I never went cause of the pricing and five guys was legit closer. But shit ima make that trip for one now.,0.0
Fuck everything,0.0
"Fuck me, you really don't like women do you?",0.0
Fukin rudeboy episode so far tho init,0.0
Funny shit that a study lately show that most germans do not give shit about their own history.,0.0
G a s p. ❛ Sorry— sorry! Don’t be scared! ❜,0.0
"Gee Oedipus, gouging out your eyes so you can’t see doesn’t mean you didn’t just get nasty with mother. It just means you aren’t man enough to look at what you’ve done.",0.0
Geeze . Who can keep up with these abusers.,0.0
"Get lost ..... Why not since last 4.5 years?? On other hand ji already installed more than 200 CCTVs in his constituency, that too within 30 days of his election Shame on u.... U people only act on social media for publicity, ZERO on ground",0.0
Getting a lil sick out of nowhere &lt;&lt;&lt;&lt;,0.0
Getting shot,0.0
Give me all my mf shoe money😂,0.0
Glad to see you would rather have a dead child over an effeminate one.,0.0
Go worship your jewish zombie on a stick and be done with it. I'm sick of those christians calling themselves nationalists.,0.0
Goddamn that is a great observation. This is almost Milton Friedman word for word.,0.0
Goddamn thats gotta be heartbreaking for him.,0.0
Going to be a tough reality when all those trump supporters with preexisting conditions realize their Fuhrer has again screwed them (and America) over.,0.0
Got burned so hard on El Pollo Loco ER. Want to die.,0.0
Gotta look after the afflicted 😂,0.0
"Great game for the neutral. Bit of a gut-kick for us. We played well and were shafted, yet again, by a couple of dodgy refereeing decisions. VAR can't come soon enough.",0.0
Group Tries Again on Petition for Gun Sale Background Checks,0.0
HOLY SHIT! Amazing progress,0.0
"HUGE ANNOUNCEMENT! Talk Me Into is on Patreon. Ton of exclusive content for supporters of the show is coming. If you feel so inclined, become a patron of TMI at",0.0
"Happy Birthday Bon!! My favorite tracks from him are High Voltage, Dirty Deeds, Let There Be Rock, Rock 'N' Roll Damnation, Kicked In The Teeth, and Highway To Hell 🤘🏻🤘🏻",0.0
Harry Tuttle? I think not. Tom Stoppard would cheerfully punch this idiot in the bollocks.,0.0
Has our raping of Africa caused them to sometimes rely on trophy hunters to fund their wild life reserves? Is there a better way? Charity etc. What are your thoughts on and his approach? I presume you are not busy tonight to answer these questions.,0.0
Has your jealousy made it into your masturbation fantasies yet? Do you pull on your penis while thinking about what might have been? If only. If only you weren't such a sad,0.0
Have fags never thought that MAYBE this is their test in life? That some people are tested to see if they can be celibate or not? That some people are tested with money,0.0
Having hoes in 2019 is not as fun as it was in 2014 ... I blame city girls that stallion mf n whoever else 🤷🏾‍♂️,0.0
He also slept with either your girlfriend or wife 😂,0.0
He banna. He vhanna. Bathong. Yhoo hai hai. What's fucking happening in this country. Yhoo. Hai,0.0
He can though more like Jesus can never win the Champions league lol,0.0
He is banned from the USA.,0.0
He looks like that baby dinosaur on that 90’s show ... About a family of dinosaurs. He also looks like hot-garbage.,0.0
"He made a nurse stab some guys with a fucking pen, that has to count",0.0
He still just sits in the room all day smoking weed doing nothing,0.0
He was. Reports on the state of governments was what they used to do. Before we seceded sovereignty to Trump Said we were to weak to stand alone Proof shown.🤦‍♀️,0.0
"Headcanon: Crowley is a Jamiroquai fan: all flights for the Moon, Mars, Jupiter &amp; the outer galaxies of Alpha Centauri shuttle departs, 2.56 seconds I’m holding heaven in my hands It’s automatic baby, and it feels good",0.0
Here’s the can be proud that Islam is terrorizing the globe ever since the times of paedophile 😂,0.0
Hey darling! Anyone can buy my nudes and videos! Only cheap price darling! Dm me now. Dont hesitate! Dont forget to follow and retweet! #cumtribute #cumslut #teen #sex #porn #sexy #nyc #horny #snapchatslut #video #pics #dm #cumwhore #ass #tits #booty #sex #sexy #boobs #Paypal,0.0
Hey dog I see you everyday on t.v. love you man,0.0
Hey im 5'9 and i never behaved like that,0.0
He’s been accused of raping one of Epstein’s girls himself,0.0
"Hi welcome to my twitter page, i like to post relatable but also depressing shit about my life. Enjoy ☺",0.0
Holy shit. She really likes me and trust me. God bless 🙏,0.0
Holy toxic he calling u kid but he acting like a kid 😂,0.0
"Home Depot is where you go to buy homes, right? #BoycottHomeDepot should really take a bite out of white people being able to buy homes.",0.0
Horny men are ruining the economy,0.0
How come I suck so bad at racing games wtf.,0.0
How could you @troyhunt ?!,0.0
How low can this Nishant Verma stoop Arnab teared him apart by saying him the slave of Vadra and Rahul but this shameless still debates with his shameless irritating tune shame on such liyals of fake gjandhis.,0.0
How much did whining about that handbag help society? As if the average american can even afford to spend$26k on a CAR let alone a stupid handbag,0.0
How the fuck is that supposed to solve any problems with rampant unemployment due to technology? That's going to be a cause of rampant unemployment due to technology.,0.0
"How young was She, Alan? Damn, no wonder Democrats stick together like glue! Are you a right or left nostril guy?",0.0
Hows it feel knowing your kind is not only being wiped out by society finally having enough of your shit..,0.0
I DONT THINK IM MENTALLY READY FOR THIS ANNOUNCEMENT!!!!,0.0
"I WANT TO THROW MYSELF AWAY, THIS IS SO DAMN CUTE",0.0
I am tits deep in background research. I have two characters I’m trying to write for today.,0.0
I am very glad he is okay and that you were able to take him to a vet. I hope he recovers well. The other post sounded like your dad wouldn’t let them have any vet care at all (though it’s still awful he couldn’t go right away). Please get them fixed ASAP! Have you had the others checked for this same parasite?,0.0
I bit the crap out of my tongue today 😖,0.0
I called my doctor today he told me I wasn’t allowed to do shit I was doing all week 🤦🏽‍♀️,0.0
"I can hear this gif, @geraldocortes. 😏",0.0
I can’t fucking wait for Midsommar I haven’t been this excited for a film since Roma,0.0
"I do think there is a line between ""Tax the rich"" and Fully Automated Luxury Gay Space Communism with a tiny pinch of Genocide. It is not like you are taking ALL their money with taxes, just a tiny bit more to pay the poor teachers...",0.0
I don't feel like going into detail about banking or finance though so I am going to stop there. I am sure I am missing something but this is already long as fuck.,0.0
"I don't hate a lot of people just this girl from high school, one of my friend's girlfriend, one of my ex boyfriend's brother's girlfriend, this couple on instagram I don't know but has a go fund me page for their vacation...AND LUKE P #theBachelorette",0.0
I don't want to alienate people based on their lineage. I would rather focus on the ways in which MM today hurts minorities w. his policies/words/actions. There are good ppl descended from slave owners and bad ppl descended from abolitionists. This is a harmful distraction.,0.0
I don’t do any of those things and am not an imbecile having run a business worth $50m with an annual turnover of $20m. What have you done?,0.0
"I don’t have a dick, I’m just a regular female who enjoys dick pics...",0.0
"I don’t wanna see anyone talking about Bey’s voice acting when Donald’s voice on Can You Feel The Love Tonight was the way it was. Now when we dragged him for it, y’all were crying saying he’s not a vocalist, but cant give my good sis a pass for something shes deadass not bad at?",0.0
"I expect to also vote for nominee as I always have but if it is a sure loser, it will be discouraging.",0.0
I feel like I can become a badder bitch 🤔,0.0
I feel sorry for you guys all you see is angry me 😥,0.0
I find it amazing how the opinion someone has of a person could change so drastically. How selfish someone can be to go to suck lengths to belittle someone...apologies for the mini rant,0.0
I fucking love subliminal messaging via old fashioned newspaper pagination this is the greatest,0.0
"I get this all the time. My reply is thanks for the compliment but I've been doing this for over a decade. In my head I'm like ""Would you rather I drink and smoke heavily and work with chemicals and sleep on my face?"" (Line from the Janitor on Scrubs)",0.0
I got 2 years left time need to slow tf down😭,0.0
I had JUST started it when they took it down. I had only gotten through episode 1. Now I'm watching it on Hulu which is okay enough but the commercials are fricking obnoxious.,0.0
I hate it when my girl can’t come over and smoke cus her square ass boyfriend is being clingy again😪,0.0
I hate this place,0.0
"I hated to do it but the short porch in Cleve combined with the amount of training I figured Joc probably did to “try and win this damn thang, bruh!” {I imagine that’s probably how he said it}",0.0
I have good veins they said. Something only a prick would say. 💉,0.0
I havent seen her say that but I don't see her doing BG porn,0.0
"I honestly fucking knew it, not surprised",0.0
I hope that they are African books and not USA cast-offs.,0.0
I hope your not one the bitch in charge is upset with. But if you are good.,0.0
I just got done fucking her and am now back in my hotel room.,0.0
I just want to talk to these crooks real quick. ..... igotcashonsightlmkforthelowlowapplemerch.,0.0
I know it makes arabs feel better when they talk about their loot and pillage of persian empire,0.0
I know right 🥺 id kill for those socks,0.0
I lied to myself for a year or so thinking the Joey Dosik version was the best version of this but this nigga floated,0.0
I like how you just ignored this entire post chain to start attacking me on stemcells.,0.0
"I like your piece, and I appreciate the message. Everyone is a person, and deserves to be treated as such. Sorry you had a garbage response to your art.",0.0
