scenario,n_ann,minority,delta,rep,method,stat,pvalue,detected
polarization,80,0.5,0.0,19,Krippendorff alpha (pooled),0.05528327566662261,nan,0
polarization,80,0.5,0.0,19,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,20,apunim (fixed binning),-0.04183163075073048,2.465093361142006e-05,1
polarization,80,0.5,0.0,20,Krippendorff delta-alpha,-0.00016423608403992596,0.5522388059701493,0
polarization,80,0.5,0.0,20,Krippendorff alpha (pooled),0.056393361610405424,nan,0
polarization,80,0.5,0.0,20,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,21,apunim (fixed binning),-0.018715013778892016,0.47672190535382075,0
polarization,80,0.5,0.0,21,Krippendorff delta-alpha,-0.00016995302237160503,0.5572139303482587,0
polarization,80,0.5,0.0,21,Krippendorff alpha (pooled),0.054606488345097515,nan,0
polarization,80,0.5,0.0,21,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,22,apunim (fixed binning),0.04238185457536339,0.03349919246063352,1
polarization,80,0.5,0.0,22,Krippendorff delta-alpha,0.0014237880720341378,0.0845771144278607,0
polarization,80,0.5,0.0,22,Krippendorff alpha (pooled),0.04796195277065829,nan,0
polarization,80,0.5,0.0,22,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,23,apunim (fixed binning),0.016924673112821302,0.8012936598077356,0
polarization,80,0.5,0.0,23,Krippendorff delta-alpha,0.00030029211941229317,0.472636815920398,0
polarization,80,0.5,0.0,23,Krippendorff alpha (pooled),0.048741246705831354,nan,0
polarization,80,0.5,0.0,23,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,24,apunim (fixed binning),0.0043724436179640854,1.0,0
polarization,80,0.5,0.0,24,Krippendorff delta-alpha,-0.0004820918995352974,0.6069651741293532,0
polarization,80,0.5,0.0,24,Krippendorff alpha (pooled),0.04835701909812873,nan,0
polarization,80,0.5,0.0,24,aposteriori unimodality (2024),0.041666666666666664,0.6039603960396039,0
polarization,80,0.5,0.0,25,apunim (fixed binning),0.014484668599039234,0.7719177606856352,0
polarization,80,0.5,0.0,25,Krippendorff delta-alpha,-0.0010832486129693786,0.8258706467661692,0
polarization,80,0.5,0.0,25,Krippendorff alpha (pooled),0.05046240892808096,nan,0
polarization,80,0.5,0.0,25,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,26,apunim (fixed binning),0.0447197639787308,0.2602830044950075,0
polarization,80,0.5,0.0,26,Krippendorff delta-alpha,-0.00015674943118415552,0.5522388059701493,0
polarization,80,0.5,0.0,26,Krippendorff alpha (pooled),0.04671003692874576,nan,0
polarization,80,0.5,0.0,26,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,27,apunim (fixed binning),-0.0411673037411165,0.07782668770911678,0
polarization,80,0.5,0.0,27,Krippendorff delta-alpha,0.00030274315251599404,0.4079601990049751,0
polarization,80,0.5,0.0,27,Krippendorff alpha (pooled),0.059555828811135414,nan,0
polarization,80,0.5,0.0,27,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,28,apunim (fixed binning),0.05144863887849145,0.10199260767008736,0
polarization,80,0.5,0.0,28,Krippendorff delta-alpha,-0.00014980940632730588,0.5671641791044776,0
polarization,80,0.5,0.0,28,Krippendorff alpha (pooled),0.04888170152295024,nan,0
polarization,80,0.5,0.0,28,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,29,apunim (fixed binning),0.003216920964952832,1.0,0
polarization,80,0.5,0.0,29,Krippendorff delta-alpha,0.0004976748881752591,0.35323383084577115,0
polarization,80,0.5,0.0,29,Krippendorff alpha (pooled),0.05189749828197687,nan,0
polarization,80,0.5,0.0,29,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,30,apunim (fixed binning),0.02779714450831895,0.018753686319661927,1
polarization,80,0.5,0.0,30,Krippendorff delta-alpha,0.001628626713449488,0.11940298507462686,0
polarization,80,0.5,0.0,30,Krippendorff alpha (pooled),0.05184426251886809,nan,0
polarization,80,0.5,0.0,30,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,31,apunim (fixed binning),-0.05233812163998771,0.019870736048790482,1
polarization,80,0.5,0.0,31,Krippendorff delta-alpha,-0.0001781993736592602,0.5422885572139303,0
polarization,80,0.5,0.0,31,Krippendorff alpha (pooled),0.04503918358708392,nan,0
polarization,80,0.5,0.0,31,aposteriori unimodality (2024),0.1111111111111111,0.0297029702970297,1
polarization,80,0.5,0.0,32,apunim (fixed binning),-0.014204097478909243,1.0,0
polarization,80,0.5,0.0,32,Krippendorff delta-alpha,0.00036994097909215373,0.3333333333333333,0
polarization,80,0.5,0.0,32,Krippendorff alpha (pooled),0.045298183870231656,nan,0
polarization,80,0.5,0.0,32,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,33,apunim (fixed binning),0.026452035440154585,0.4028818375589243,0
polarization,80,0.5,0.0,33,Krippendorff delta-alpha,-0.0020286577412432782,0.9303482587064676,0
polarization,80,0.5,0.0,33,Krippendorff alpha (pooled),0.05039302101326659,nan,0
polarization,80,0.5,0.0,33,aposteriori unimodality (2024),0.2222222222222222,0.009900990099009901,1
polarization,80,0.5,0.0,34,apunim (fixed binning),-0.02597310420097633,0.15521483746032283,0
polarization,80,0.5,0.0,34,Krippendorff delta-alpha,-0.0016652522320492191,0.9154228855721394,0
polarization,80,0.5,0.0,34,Krippendorff alpha (pooled),0.052723473234860485,nan,0
polarization,80,0.5,0.0,34,aposteriori unimodality (2024),0.043478260869565216,0.32673267326732675,0
polarization,80,0.5,0.0,35,apunim (fixed binning),-0.006418205803543413,1.0,0
polarization,80,0.5,0.0,35,Krippendorff delta-alpha,0.00027811809947630994,0.3781094527363184,0
polarization,80,0.5,0.0,35,Krippendorff alpha (pooled),0.04589851649060894,nan,0
polarization,80,0.5,0.0,35,aposteriori unimodality (2024),0.0625,0.22772277227722773,0
polarization,80,0.5,0.0,36,apunim (fixed binning),0.0221709763771928,0.029928920498968597,1
polarization,80,0.5,0.0,36,Krippendorff delta-alpha,-0.0002825688655723746,0.5422885572139303,0
polarization,80,0.5,0.0,36,Krippendorff alpha (pooled),0.05012903492274656,nan,0
polarization,80,0.5,0.0,36,aposteriori unimodality (2024),0.041666666666666664,0.43564356435643564,0
polarization,80,0.5,0.0,37,apunim (fixed binning),0.01817590915380031,0.3755099277694657,0
polarization,80,0.5,0.0,37,Krippendorff delta-alpha,0.000677744365215116,0.2835820895522388,0
polarization,80,0.5,0.0,37,Krippendorff alpha (pooled),0.0559383045815639,nan,0
polarization,80,0.5,0.0,37,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,38,apunim (fixed binning),0.011784766044511034,1.0,0
polarization,80,0.5,0.0,38,Krippendorff delta-alpha,0.0007527603761535717,0.2537313432835821,0
polarization,80,0.5,0.0,38,Krippendorff alpha (pooled),0.0492265654678844,nan,0
polarization,80,0.5,0.0,38,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,39,apunim (fixed binning),-0.07227589616826144,4.158932268375691e-05,1
polarization,80,0.5,0.0,39,Krippendorff delta-alpha,0.0008737096852247106,0.21393034825870647,0
polarization,80,0.5,0.0,39,Krippendorff alpha (pooled),0.05151662864319606,nan,0
polarization,80,0.5,0.0,39,aposteriori unimodality (2024),0.047619047619047616,0.5148514851485149,0
polarization,80,0.5,0.5,0,apunim (fixed binning),0.06968382029238814,9.314573418946479e-07,1
polarization,80,0.5,0.5,0,Krippendorff delta-alpha,0.0035076228529621334,0.004975124378109453,1
polarization,80,0.5,0.5,0,Krippendorff alpha (pooled),0.04314799315090623,nan,0
polarization,80,0.5,0.5,0,aposteriori unimodality (2024),0.06666666666666667,0.0891089108910891,0
polarization,80,0.5,0.5,1,apunim (fixed binning),0.016914078708568276,0.4710534424976839,0
polarization,80,0.5,0.5,1,Krippendorff delta-alpha,0.0005926874724606068,0.1791044776119403,0
polarization,80,0.5,0.5,1,Krippendorff alpha (pooled),0.04652581200401018,nan,0
polarization,80,0.5,0.5,1,aposteriori unimodality (2024),0.038461538461538464,0.4158415841584158,0
polarization,80,0.5,0.5,2,apunim (fixed binning),0.10060802049323864,5.136419164587148e-10,1
polarization,80,0.5,0.5,2,Krippendorff delta-alpha,0.0033350343005577043,0.004975124378109453,1
polarization,80,0.5,0.5,2,Krippendorff alpha (pooled),0.04884322563643606,nan,0
polarization,80,0.5,0.5,2,aposteriori unimodality (2024),0.038461538461538464,0.5346534653465347,0
polarization,80,0.5,0.5,3,apunim (fixed binning),0.07191429082996667,0.017278005578457517,1
polarization,80,0.5,0.5,3,Krippendorff delta-alpha,0.001205582692265894,0.07960199004975124,0
polarization,80,0.5,0.5,3,Krippendorff alpha (pooled),0.046527152917502534,nan,0
polarization,80,0.5,0.5,3,aposteriori unimodality (2024),0.1,0.15841584158415842,0
polarization,80,0.5,0.5,4,apunim (fixed binning),0.06552328249124935,0.00012702752759727852,1
polarization,80,0.5,0.5,4,Krippendorff delta-alpha,0.0019445970968003934,0.03482587064676617,1
polarization,80,0.5,0.5,4,Krippendorff alpha (pooled),0.045886049465913126,nan,0
polarization,80,0.5,0.5,4,aposteriori unimodality (2024),0.07142857142857142,0.07920792079207921,0
polarization,80,0.5,0.5,5,apunim (fixed binning),0.035851184935623,9.251164385611545e-06,1
polarization,80,0.5,0.5,5,Krippendorff delta-alpha,0.0006470326255659242,0.1890547263681592,0
polarization,80,0.5,0.5,5,Krippendorff alpha (pooled),0.04418807209944742,nan,0
polarization,80,0.5,0.5,5,aposteriori unimodality (2024),0.034482758620689655,0.7029702970297029,0
polarization,80,0.5,0.5,6,apunim (fixed binning),0.06208033588164878,0.034250488671090096,1
polarization,80,0.5,0.5,6,Krippendorff delta-alpha,0.004287166952871402,0.004975124378109453,1
polarization,80,0.5,0.5,6,Krippendorff alpha (pooled),0.050358812046759405,nan,0
polarization,80,0.5,0.5,6,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.5,7,apunim (fixed binning),0.09251703926070079,3.331406245657564e-08,1
polarization,80,0.5,0.5,7,Krippendorff delta-alpha,0.0007701629201424254,0.1890547263681592,0
polarization,80,0.5,0.5,7,Krippendorff alpha (pooled),0.04073957432927733,nan,0
polarization,80,0.5,0.5,7,aposteriori unimodality (2024),0.09090909090909091,0.019801980198019802,1
polarization,80,0.5,0.5,8,apunim (fixed binning),-0.020213435960121384,0.3039511545770011,0
polarization,80,0.5,0.5,8,Krippendorff delta-alpha,0.0011604293127541743,0.0845771144278607,0
polarization,80,0.5,0.5,8,Krippendorff alpha (pooled),0.04160147917960311,nan,0
polarization,80,0.5,0.5,8,aposteriori unimodality (2024),0.08,0.06930693069306931,0
polarization,80,0.5,0.5,9,apunim (fixed binning),0.06925526631517898,0.0008972038992024455,1
polarization,80,0.5,0.5,9,Krippendorff delta-alpha,0.0014321189984060623,0.0845771144278607,0
polarization,80,0.5,0.5,9,Krippendorff alpha (pooled),0.05084149559257878,nan,0
polarization,80,0.5,0.5,9,aposteriori unimodality (2024),0.034482758620689655,0.2079207920792079,0
polarization,80,0.5,0.5,10,apunim (fixed binning),0.01762568065195727,0.24710078725697318,0
polarization,80,0.5,0.5,10,Krippendorff delta-alpha,0.004451213516741159,0.004975124378109453,1
polarization,80,0.5,0.5,10,Krippendorff alpha (pooled),0.045898787316237755,nan,0
polarization,80,0.5,0.5,10,aposteriori unimodality (2024),0.05405405405405406,0.36633663366336633,0
polarization,80,0.5,0.5,11,apunim (fixed binning),0.039995667480951486,0.008724648639100089,1
polarization,80,0.5,0.5,11,Krippendorff delta-alpha,0.0027377524499449524,0.014925373134328358,1
polarization,80,0.5,0.5,11,Krippendorff alpha (pooled),0.04557943371093898,nan,0
polarization,80,0.5,0.5,11,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.5,12,apunim (fixed binning),0.030464569065938942,0.044565719189593296,1
polarization,80,0.5,0.5,12,Krippendorff delta-alpha,-0.00022548975452968412,0.4626865671641791,0
polarization,80,0.5,0.5,12,Krippendorff alpha (pooled),0.04618687977027591,nan,0
polarization,80,0.5,0.5,12,aposteriori unimodality (2024),0.12,0.0594059405940594,0
polarization,80,0.5,0.5,13,apunim (fixed binning),0.06759754790735414,6.758945012489098e-07,1
polarization,80,0.5,0.5,13,Krippendorff delta-alpha,0.0026384944066439875,0.01990049751243781,1
polarization,80,0.5,0.5,13,Krippendorff alpha (pooled),0.0454588669981737,nan,0
polarization,80,0.5,0.5,13,aposteriori unimodality (2024),0.13793103448275862,0.009900990099009901,1
polarization,80,0.5,0.5,14,apunim (fixed binning),0.05208773450172047,0.008093428507598704,1
polarization,80,0.5,0.5,14,Krippendorff delta-alpha,0.00010293893983115421,0.27860696517412936,0
polarization,80,0.5,0.5,14,Krippendorff alpha (pooled),0.049164975683006484,nan,0
polarization,80,0.5,0.5,14,aposteriori unimodality (2024),0.038461538461538464,0.5148514851485149,0
polarization,80,0.5,0.5,15,apunim (fixed binning),0.061152650666432086,0.0007430592573331076,1
polarization,80,0.5,0.5,15,Krippendorff delta-alpha,0.0004936230156389887,0.22885572139303484,0
polarization,80,0.5,0.5,15,Krippendorff alpha (pooled),0.05222453545028216,nan,0
polarization,80,0.5,0.5,15,aposteriori unimodality (2024),0.034482758620689655,0.5346534653465347,0
polarization,80,0.5,0.5,16,apunim (fixed binning),0.027324683559700427,0.02904199189837623,1
polarization,80,0.5,0.5,16,Krippendorff delta-alpha,0.001799463456564121,0.03482587064676617,1
polarization,80,0.5,0.5,16,Krippendorff alpha (pooled),0.057713095782047974,nan,0
polarization,80,0.5,0.5,16,aposteriori unimodality (2024),0.08695652173913043,0.15841584158415842,0
polarization,80,0.5,0.5,17,apunim (fixed binning),-0.04552969645110203,0.0003716984442025742,1
polarization,80,0.5,0.5,17,Krippendorff delta-alpha,0.0008952416081681736,0.12935323383084577,0
polarization,80,0.5,0.5,17,Krippendorff alpha (pooled),0.040895187431662205,nan,0
polarization,80,0.5,0.5,17,aposteriori unimodality (2024),0.037037037037037035,0.4752475247524752,0
polarization,80,0.5,0.5,18,apunim (fixed binning),0.05894346757347586,0.004966289920254454,1
polarization,80,0.5,0.5,18,Krippendorff delta-alpha,0.0033794623609668673,0.004975124378109453,1
polarization,80,0.5,0.5,18,Krippendorff alpha (pooled),0.047796318610909494,nan,0
polarization,80,0.5,0.5,18,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.5,19,apunim (fixed binning),-0.06952406296550713,1.4297979634549797e-08,1
polarization,80,0.5,0.5,19,Krippendorff delta-alpha,0.001060171603251725,0.0945273631840796,0
polarization,80,0.5,0.5,19,Krippendorff alpha (pooled),0.04285059934460911,nan,0
polarization,80,0.5,0.5,19,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.5,20,apunim (fixed binning),0.05747264125641241,0.0031223414955803197,1
polarization,80,0.5,0.5,20,Krippendorff delta-alpha,0.0019115197639125725,0.029850746268656716,1
polarization,80,0.5,0.5,20,Krippendorff alpha (pooled),0.05258164361197182,nan,0
polarization,80,0.5,0.5,20,aposteriori unimodality (2024),0.043478260869565216,0.5346534653465347,0
polarization,80,0.5,0.5,21,apunim (fixed binning),0.0663437683715107,4.381827604257601e-05,1
polarization,80,0.5,0.5,21,Krippendorff delta-alpha,0.0014030590552416289,0.07462686567164178,0
polarization,80,0.5,0.5,21,Krippendorff alpha (pooled),0.0508921515670524,nan,0
polarization,80,0.5,0.5,21,aposteriori unimodality (2024),0.09523809523809523,0.07920792079207921,0
polarization,80,0.5,0.5,22,apunim (fixed binning),0.026035318252806788,0.1785638778280442,0
polarization,80,0.5,0.5,22,Krippendorff delta-alpha,0.0015960013349630153,0.05970149253731343,0
polarization,80,0.5,0.5,22,Krippendorff alpha (pooled),0.05131718208884617,nan,0
polarization,80,0.5,0.5,22,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.5,23,apunim (fixed binning),0.0800356861434273,3.3945308348659066e-05,1
polarization,80,0.5,0.5,23,Krippendorff delta-alpha,0.001852376908814457,0.06467661691542288,0
polarization,80,0.5,0.5,23,Krippendorff alpha (pooled),0.04722063612276606,nan,0
polarization,80,0.5,0.5,23,aposteriori unimodality (2024),0.06451612903225806,0.1485148514851485,0
polarization,80,0.5,0.5,24,apunim (fixed binning),-0.048371286288444656,0.005632310939798376,1
polarization,80,0.5,0.5,24,Krippendorff delta-alpha,-0.0001067967996173369,0.4228855721393035,0
polarization,80,0.5,0.5,24,Krippendorff alpha (pooled),0.0503195198507117,nan,0
polarization,80,0.5,0.5,24,aposteriori unimodality (2024),0.13793103448275862,0.06930693069306931,0
polarization,80,0.5,0.5,25,apunim (fixed binning),0.0683187199913281,0.001228639247015832,1
polarization,80,0.5,0.5,25,Krippendorff delta-alpha,0.0008229582903332977,0.11442786069651742,0
polarization,80,0.5,0.5,25,Krippendorff alpha (pooled),0.03545890297721843,nan,0
polarization,80,0.5,0.5,25,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.5,26,apunim (fixed binning),-0.06812071641622847,0.00019495338125183117,1
polarization,80,0.5,0.5,26,Krippendorff delta-alpha,-0.001590741340369517,0.8656716417910447,0
polarization,80,0.5,0.5,26,Krippendorff alpha (pooled),0.04125541461920801,nan,0
polarization,80,0.5,0.5,26,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.5,27,apunim (fixed binning),0.09562580109338313,5.444121135678943e-08,1
polarization,80,0.5,0.5,27,Krippendorff delta-alpha,0.0038423599960771826,0.004975124378109453,1
polarization,80,0.5,0.5,27,Krippendorff alpha (pooled),0.04632488257342804,nan,0
polarization,80,0.5,0.5,27,aposteriori unimodality (2024),0.1724137931034483,0.009900990099009901,1
polarization,80,0.5,0.5,28,apunim (fixed binning),0.07148778486545648,4.905949919853028e-06,1
polarization,80,0.5,0.5,28,Krippendorff delta-alpha,0.0016765579855821389,0.029850746268656716,1
polarization,80,0.5,0.5,28,Krippendorff alpha (pooled),0.03907201442308428,nan,0
polarization,80,0.5,0.5,28,aposteriori unimodality (2024),0.11764705882352941,0.009900990099009901,1
polarization,80,0.5,0.5,29,apunim (fixed binning),0.07255004430199305,0.0013107390121211105,1
polarization,80,0.5,0.5,29,Krippendorff delta-alpha,0.0016207143465757912,0.05970149253731343,0
polarization,80,0.5,0.5,29,Krippendorff alpha (pooled),0.048046844381758214,nan,0
polarization,80,0.5,0.5,29,aposteriori unimodality (2024),0.17391304347826086,0.009900990099009901,1
polarization,80,0.5,0.5,30,apunim (fixed binning),-0.02717062425305343,0.43495204892851447,0
polarization,80,0.5,0.5,30,Krippendorff delta-alpha,-3.7958356010781014e-05,0.32338308457711445,0
polarization,80,0.5,0.5,30,Krippendorff alpha (pooled),0.04325995194946508,nan,0
polarization,80,0.5,0.5,30,aposteriori unimodality (2024),0.06666666666666667,0.46534653465346537,0
polarization,80,0.5,0.5,31,apunim (fixed binning),0.08033174459793987,0.002953904340187163,1
polarization,80,0.5,0.5,31,Krippendorff delta-alpha,0.0035256099507368632,0.004975124378109453,1
polarization,80,0.5,0.5,31,Krippendorff alpha (pooled),0.047449055322735356,nan,0
polarization,80,0.5,0.5,31,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.5,32,apunim (fixed binning),0.033285799903100134,0.06329897377003219,0
polarization,80,0.5,0.5,32,Krippendorff delta-alpha,0.0033853005840888684,0.004975124378109453,1
polarization,80,0.5,0.5,32,Krippendorff alpha (pooled),0.04624018205079061,nan,0
polarization,80,0.5,0.5,32,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.5,33,apunim (fixed binning),0.06815064065621323,3.200677825038211e-05,1
polarization,80,0.5,0.5,33,Krippendorff delta-alpha,0.002574417342891322,0.004975124378109453,1
polarization,80,0.5,0.5,33,Krippendorff alpha (pooled),0.042921000171826984,nan,0
polarization,80,0.5,0.5,33,aposteriori unimodality (2024),0.08571428571428572,0.039603960396039604,1
polarization,80,0.5,0.5,34,apunim (fixed binning),0.027724210575239085,0.10996631414622995,0
polarization,80,0.5,0.5,34,Krippendorff delta-alpha,0.0025216652643679227,0.03482587064676617,1
polarization,80,0.5,0.5,34,Krippendorff alpha (pooled),0.041926569230098965,nan,0
polarization,80,0.5,0.5,34,aposteriori unimodality (2024),0.10344827586206896,0.0297029702970297,1
polarization,80,0.5,0.5,35,apunim (fixed binning),0.07080148717124854,0.00016698484405434433,1
